x y z u v depth
-1.677962 -0.868633 0.431624 -64.692702 117.973055 -0.598133
-1.674793 -0.873503 0.455626 -63.923501 119.293233 -0.595255
-1.665175 -0.876378 0.469403 -63.105667 119.669310 -0.593512
-1.081721 -0.904703 0.750021 -20.275730 104.602176 -0.587545
-1.054405 -0.906931 0.750403 -19.174956 103.377901 -0.585314
-1.027683 -0.908957 0.750973 -18.056678 102.169461 -0.583302
-1.006659 -0.909272 0.756923 -16.652745 101.377537 -0.583446
-1.018184 -0.905717 0.799758 -14.099892 103.659620 -0.590541
-0.924596 -0.914196 0.807308 -9.947970 99.777587 -0.582571
-0.931340 -0.911344 0.849987 -7.322204 101.879119 -0.588945
-0.904709 -0.913347 0.845289 -6.494245 100.436182 -0.586520
-0.867539 -0.915667 0.862678 -3.809425 99.472486 -0.585586
-0.841623 -0.918090 0.862844 -2.747973 98.299062 -0.583145
-0.839796 -0.916931 0.894905 -0.585482 99.602983 -0.586943
-0.826123 -0.917106 0.911505 1.086909 99.670769 -0.588117
-0.791248 -0.919501 0.897444 1.766985 97.385213 -0.584517
-0.774059 -0.921059 0.906629 3.038153 97.018473 -0.583696
-0.765157 -0.919894 0.929991 5.002845 97.566978 -0.586771
-0.731817 -0.919421 0.919976 6.143622 95.364784 -0.586365
-0.723051 -0.915647 0.945517 8.438729 95.874906 -0.592220
-0.691438 -0.918026 0.933088 9.091435 93.823770 -0.588775
-0.689332 -0.917178 0.965839 11.185270 95.179064 -0.592319
-0.654739 -0.921140 0.941686 11.184219 92.509537 -0.586325
-0.638439 -0.921843 0.950900 12.492556 92.139577 -0.586360
-0.021478 -0.920254 1.318890 62.826354 78.299428 -0.617362
0.045122 -0.922654 1.367057 68.391484 77.343168 -0.618843
0.058798 -0.919208 1.393700 70.275229 77.817724 -0.624454
0.074212 -0.920600 1.410927 71.846893 77.898924 -0.624465
0.103376 -0.924719 1.378891 71.799217 75.101363 -0.617672
0.118066 -0.924916 1.405442 73.771285 75.626076 -0.619644
0.137486 -0.924683 1.408045 74.824879 74.797283 -0.620061
0.152604 -0.922258 1.430095 76.527299 75.034634 -0.624274
0.170409 -0.922366 1.432024 77.471441 74.266112 -0.624298
0.185183 -0.919894 1.447083 78.806121 74.199500 -0.627982
0.204070 -0.921641 1.442964 79.565708 73.134713 -0.625872
0.210902 -0.916661 1.509790 82.768913 75.764478 -0.636338
0.225738 -0.912531 1.541983 84.750169 76.417850 -0.643088
0.238593 -0.907722 1.570610 86.418413 76.976082 -0.650222
0.342273 -0.905533 1.618857 93.131949 74.269209 -0.656226
0.438383 -0.898152 1.632756 97.684101 70.371282 -0.664582
0.465215 -0.894982 1.638111 98.932746 69.352245 -0.668142
0.506473 -0.894988 1.576966 98.286496 64.773249 -0.663028
0.557157 -0.884137 1.522962 97.759214 60.040839 -0.669309
0.566537 -0.844554 1.739140 104.297264 68.676284 -0.726579
0.574937 -0.819012 1.612232 98.591447 63.063461 -0.741550
-1.373581 -0.851552 0.195469 -62.061933 90.937203 -0.595207
-1.339775 -0.852954 0.193683 -60.785723 89.207936 -0.593611
-1.315300 -0.853646 0.193616 -59.708239 87.993210 -0.592878
-1.278640 -0.856542 0.185522 -59.010132 85.867061 -0.589268
-1.300615 -0.852924 0.224220 -56.763364 88.644295 -0.596100
-1.276783 -0.853379 0.226622 -55.505448 87.571430 -0.595808
-1.271655 -0.851997 0.243424 -53.861093 88.033566 -0.598564
-1.234434 -0.854752 0.255228 -51.754343 86.825355 -0.596736
-1.197063 -0.857693 0.246035 -51.058616 84.619589 -0.592989
-1.224792 -0.853077 0.292595 -48.502761 88.002784 -0.601473
-1.214687 -0.853040 0.305978 -47.124401 88.112450 -0.602599
-1.166386 -0.857015 0.307001 -45.381846 85.904902 -0.598648
-1.115707 -0.861079 0.285875 -44.968122 82.499709 -0.592777
-1.103562 -0.860187 0.299202 -43.327517 82.485086 -0.594747
-1.101544 -0.857889 0.319519 -41.505378 83.260733 -0.598711
-1.026657 -0.858204 0.341649 -36.424677 80.549231 -0.600108
-0.987079 -0.860613 0.328896 -35.668844 78.019588 -0.596595
-0.988119 -0.858922 0.353262 -33.893026 79.185737 -0.600292
